Code;Date;Interface;Sexe;Age;TotEmo;Button;Other;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;B1;B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6;D1;D2;D3;D4;D5;D6;EXP1;EXP2;EXP3;EXP4;EXP5;EXP6;EXP7;EXP8;EXP9;EMOP1;EMOP2;EMPP3;EMOP4;EMOP5;EMOP6;EMOP7;EMOC1;EMOC2;EMOC3;EMOC4;EMOC5;EMOC6;EMOC7;SUS1;SUS2;SUS3;SUS4;SUS5;SUS6;SUS7;SUS8;SUS9;SUS10
13036;15.apr;D;M;22;22;10;12;4;6;6;2;2;1;3;5;4;1;5;6;7;2;7;2;6;6;2;7;2;1;1;1;5;7;2;1;1;1;5;5;6;6;6;6;5;7;7;7;5;4;6;4;6;6;3;5;5;4;5;6;6;5;4;4;3;3;3;2;6;5;5;2
19952;15.apr;D;F;22;37;21;16;1;5;7;4;5;1;2;7;5;7;5;3;5;2;5;5;1;6;2;5;7;3;3;6;2;3;6;2;6;5;4;5;7;6;7;6;5;2;3;5;5;5;6;7;7;6;1;4;3;6;6;5;4;2;2;3;7;6;3;1;7;1;5;1
10312;15.apr;P;F;24;18;10;8;1;7;2;5;2;1;7;1;3;6;4;7;4;4;6;4;5;5;3;1;6;4;1;5;6;1;6;4;5;5;4;6;2;5;7;3;5;1;2;2;5;3;6;6;6;6;6;4;2;5;6;5;6;4;4;1;7;1;5;2;7;1;4;1
28969;16.apr;D;F;22;15;5;10;3;2;4;5;5;6;1;4;5;6;1;6;5;6;7;2;6;6;6;6;2;1;1;1;1;6;2;1;1;1;1;5;5;5;7;6;4;3;3;6;4;3;4;4;5;5;3;4;3;5;3;5;5;3;3;2;5;1;5;1;4;2;4;1
10871;17.apr;P;F;28;12;9;3;2;6;4;3;3;7;5;7;5;2;2;7;7;1;7;5;6;7;7;6;2;2;2;2;2;6;2;2;2;2;2;6;6;7;7;6;7;7;3;4;5;6;6;6;7;7;3;5;4;6;6;6;7;5;5;1;7;2;6;1;6;1;5;1
12885;20.apr;P;M;42;9;3;6;3;5;6;4;4;6;2;5;5;1;2;6;3;2;6;6;6;6;6;1;1;1;1;1;1;1;1;1;1;1;1;4;5;5;5;5;3;6;5;6;4;1;1;1;1;4;1;4;1;1;1;1;4;1;1;6;3;1;6;6;5;7;4;1
14692;21.apr;D;M;24;17;8;9;1;4;2;2;2;1;3;1;5;4;1;7;7;7;1;1;1;1;1;7;1;1;1;1;1;7;1;1;1;1;1;6;2;2;6;3;4;1;2;4;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;3;6;1;4;1;5;1;3;1
20836;21.apr;P;M;32;23;10;13;2;6;3;3;1;1;7;7;3;6;2;7;7;4;6;2;6;6;7;4;7;2;7;7;7;4;7;1;7;7;7;4;2;3;3;1;1;6;5;6;6;5;1;1;6;6;6;4;3;5;2;2;4;2;4;1;7;1;6;1;6;1;6;1
50209;22.apr;D;F;23;17;8;9;2;3;5;6;4;1;4;5;3;4;3;3;4;2;6;3;6;6;5;7;2;1;1;1;1;7;2;1;1;1;1;4;4;4;5;5;3;6;5;6;4;3;3;3;3;5;2;3;2;3;3;4;4;4;1;5;3;5;4;1;5;1;3;1
13187;22.apr;P;F;23;11;7;4;1;7;2;5;2;1;6;6;4;7;1;7;7;1;3;2;1;1;1;2;1;4;1;1;1;1;2;1;3;1;1;6;2;4;6;7;4;5;1;5;1;1;4;4;1;1;4;2;3;5;2;4;2;2;1;3;6;1;6;1;7;1;3;1
50965;22.apr;D;F;22;19;11;8;2;6;6;4;6;6;5;7;7;4;2;6;4;2;4;1;7;5;3;6;2;1;1;1;2;6;2;1;1;1;1;5;3;5;6;3;6;6;4;7;6;3;3;3;5;6;4;2;3;4;2;5;5;2;5;2;4;5;5;2;5;3;5;2
16146;22.apr;D;M;37;27;27;0;4;7;4;4;4;1;7;7;7;7;1;7;7;4;7;7;7;7;4;7;7;1;1;1;1;7;7;1;1;1;1;7;7;7;7;7;7;7;7;7;7;4;7;4;7;7;4;7;4;7;7;7;7;4;7;4;7;4;7;4;7;1;4;1
30462;22.apr;P;M;23;11;4;7;2;6;2;3;2;1;7;4;7;1;1;7;7;4;5;2;6;6;6;3;6;2;1;6;6;4;6;1;6;6;6;4;3;4;4;5;4;6;4;6;4;2;3;2;3;4;3;2;2;4;3;3;3;3;7;2;6;2;6;1;6;2;6;1
21713;23.apr;P;F;31;10;7;3;1;7;5;1;5;7;7;7;7;1;1;6;7;4;5;6;6;6;6;4;6;6;1;6;6;4;6;1;6;6;6;5;5;5;5;6;5;7;3;7;3;2;6;4;6;6;1;1;1;6;2;5;6;2;4;1;6;1;7;1;6;1;6;3
19466;23.apr;D;M;24;17;8;9;1;2;1;3;3;2;5;2;7;7;1;5;5;1;6;6;7;7;5;6;2;2;2;2;2;6;1;1;1;1;1;5;5;5;2;4;3;6;7;6;7;4;5;2;3;7;2;6;2;3;2;2;6;2;6;2;6;1;5;1;7;1;5;1
38799;23.apr;P;M;32;23;18;5;2;6;2;5;2;1;4;6;7;2;6;7;5;2;7;4;4;6;7;6;6;4;4;6;7;6;6;4;4;6;7;3;5;6;4;6;6;4;5;5;3;2;5;6;2;6;6;2;2;5;5;2;6;6;4;3;3;3;4;3;2;4;3;2
